OS Benchmark experiment
Test Name:,4.12.10-custom,
       ref          kbest:,0.000000020,
       ref        average:,0.000000028,
       cpu          kbest:,0.003000361,
       cpu        average:,0.003001536,
    getpid          kbest:,0.000000071,
    getpid        average:,0.000000073,
context siwtch          kbest:,0.000002411,
context siwtch        average:,0.000002622,
      send          kbest:,0.000000328,
      send        average:,0.000001322,
      recv          kbest:,0.000000642,
      recv        average:,0.000001862,
  big send          kbest:,0.000011937,
  big send        average:,0.000018437,
  big recv          kbest:,0.000022865,
  big recv        average:,0.000036234,
      fork          kbest:,0.000146177,
      fork       average:,0.000214487,
      fork    Child kbest:,0.000235296,
      fork Child average:,0.000298284,
thr create          kbest:,0.000012955,
thr create       average:,0.000022827,
thr create    Child kbest:,0.000021289,
thr create Child average:,0.000042009,
  big fork          kbest:,0.003075300,
  big fork       average:,0.005077202,
  big fork    Child kbest:,0.003220941,
  big fork Child average:,0.005233300,
 huge fork          kbest:,0.005232648,
 huge fork       average:,0.010233981,
 huge fork    Child kbest:,0.005396103,
 huge fork Child average:,0.010397464,
small write          kbest:,0.000000706,
small write        average:,0.000000760,
small read          kbest:,0.000000265,
small read        average:,0.000000330,
small mmap          kbest:,0.000000339,
small mmap        average:,0.000000352,
small munmap          kbest:,0.000000750,
small munmap        average:,0.000000843,
small page fault          kbest:,0.000000562,
small page fault        average:,0.000000572,
 mid write          kbest:,0.000005733,
 mid write        average:,0.000005926,
  mid read          kbest:,0.000001986,
  mid read        average:,0.000002539,
  mid mmap          kbest:,0.000000325,
  mid mmap        average:,0.000000339,
mid munmap          kbest:,0.000002850,
mid munmap        average:,0.000002934,
mid page fault          kbest:,0.000001037,
mid page fault        average:,0.000001080,
 big write          kbest:,0.000805714,
 big write        average:,0.000831447,
  big read          kbest:,0.000449307,
  big read        average:,0.000453543,
  big mmap          kbest:,0.000000338,
  big mmap        average:,0.000000378,
big munmap          kbest:,0.000115135,
big munmap        average:,0.000117155,
big page fault          kbest:,0.000001462,
big page fault        average:,0.000001527,
huge write          kbest:,0.013482845,
huge write        average:,0.017090712,
 huge read          kbest:,0.024431899,
 huge read        average:,0.024612002,
 huge mmap          kbest:,0.000000317,
 huge mmap        average:,0.000000334,
huge munmap          kbest:,0.001168093,
huge munmap        average:,0.001177444,
huge page fault          kbest:,0.000001474,
huge page fault        average:,0.000001510,
    select          kbest:,0.000000510,
    select        average:,0.000000618,
      poll          kbest:,0.000000491,
      poll        average:,0.000000536,
     epoll          kbest:,0.000000698,
     epoll        average:,0.000000770,
select big          kbest:,0.000088575,
select big        average:,0.000133066,
  poll big          kbest:,0.000096803,
  poll big        average:,0.000134228,
 epoll big          kbest:,0.000149538,
 epoll big        average:,0.000219287,
