OS Benchmark experiment
Test Name:,4.12.10-disable-transparent-huge-pages,
       ref          kbest:,0.000000020,
       ref        average:,0.000000028,
       cpu          kbest:,0.003000360,
       cpu        average:,0.003002093,
    getpid          kbest:,0.000000071,
    getpid        average:,0.000000073,
context siwtch          kbest:,0.000002388,
context siwtch        average:,0.000002625,
      send          kbest:,0.000000325,
      send        average:,0.000001329,
      recv          kbest:,0.000000876,
      recv        average:,0.000001886,
  big send          kbest:,0.000009411,
  big send        average:,0.000017801,
  big recv          kbest:,0.000020577,
  big recv        average:,0.000036025,
      fork          kbest:,0.000138681,
      fork       average:,0.000220249,
      fork    Child kbest:,0.000186181,
      fork Child average:,0.000294563,
thr create          kbest:,0.000011090,
thr create       average:,0.000022963,
thr create    Child kbest:,0.000017178,
thr create Child average:,0.000042220,
  big fork          kbest:,0.003051683,
  big fork       average:,0.005039075,
  big fork    Child kbest:,0.003186855,
  big fork Child average:,0.005188304,
 huge fork          kbest:,0.002985904,
 huge fork       average:,0.010250013,
 huge fork    Child kbest:,0.003141089,
 huge fork Child average:,0.010405400,
small write          kbest:,0.000000699,
small write        average:,0.000000725,
small read          kbest:,0.000000262,
small read        average:,0.000000322,
small mmap          kbest:,0.000000325,
small mmap        average:,0.000000339,
small munmap          kbest:,0.000000670,
small munmap        average:,0.000000755,
small page fault          kbest:,0.000000585,
small page fault        average:,0.000000615,
 mid write          kbest:,0.000005369,
 mid write        average:,0.000005475,
  mid read          kbest:,0.000002305,
  mid read        average:,0.000002754,
  mid mmap          kbest:,0.000000313,
  mid mmap        average:,0.000000352,
mid munmap          kbest:,0.000002721,
mid munmap        average:,0.000002826,
mid page fault          kbest:,0.000000590,
mid page fault        average:,0.000000598,
 big write          kbest:,0.000779228,
 big write        average:,0.000795287,
  big read          kbest:,0.000476777,
  big read        average:,0.000485551,
  big mmap          kbest:,0.000000324,
  big mmap        average:,0.000000332,
big munmap          kbest:,0.000115457,
big munmap        average:,0.000119594,
big page fault          kbest:,0.000000749,
big page fault        average:,0.000000771,
huge write          kbest:,0.013468680,
huge write        average:,0.014764876,
 huge read          kbest:,0.021094630,
 huge read        average:,0.021945514,
 huge mmap          kbest:,0.000000315,
 huge mmap        average:,0.000000334,
huge munmap          kbest:,0.001176762,
huge munmap        average:,0.001188230,
huge page fault          kbest:,0.000000713,
huge page fault        average:,0.000000765,
    select          kbest:,0.000000518,
    select        average:,0.000000561,
      poll          kbest:,0.000000497,
      poll        average:,0.000000542,
     epoll          kbest:,0.000000698,
     epoll        average:,0.000000991,
select big          kbest:,0.000082165,
select big        average:,0.000125487,
  poll big          kbest:,0.000087731,
  poll big        average:,0.000131745,
 epoll big          kbest:,0.000129082,
 epoll big        average:,0.000218185,
