OS Benchmark experiment
Test Name:,4.12.10-patch-fault-around,
       ref          kbest:,0.000000020,
       ref        average:,0.000000028,
       cpu          kbest:,0.003000360,
       cpu        average:,0.003004064,
    getpid          kbest:,0.000000071,
    getpid        average:,0.000000073,
context siwtch          kbest:,0.000002392,
context siwtch        average:,0.000002631,
      send          kbest:,0.000000285,
      send        average:,0.000001313,
      recv          kbest:,0.000000700,
      recv        average:,0.000001888,
  big send          kbest:,0.000009242,
  big send        average:,0.000016356,
  big recv          kbest:,0.000023139,
  big recv        average:,0.000034892,
      fork          kbest:,0.000139649,
      fork       average:,0.000215106,
      fork    Child kbest:,0.000186228,
      fork Child average:,0.000291520,
thr create          kbest:,0.000012613,
thr create       average:,0.000023140,
thr create    Child kbest:,0.000018694,
thr create Child average:,0.000042817,
  big fork          kbest:,0.003050376,
  big fork       average:,0.005262912,
  big fork    Child kbest:,0.003189177,
  big fork Child average:,0.005408992,
 huge fork          kbest:,0.005290063,
 huge fork       average:,0.010782970,
 huge fork    Child kbest:,0.005442510,
 huge fork Child average:,0.010934715,
small write          kbest:,0.000000700,
small write        average:,0.000000741,
small read          kbest:,0.000000263,
small read        average:,0.000000323,
small mmap          kbest:,0.000000325,
small mmap        average:,0.000000332,
small munmap          kbest:,0.000000683,
small munmap        average:,0.000000754,
small page fault          kbest:,0.000000579,
small page fault        average:,0.000000597,
 mid write          kbest:,0.000005806,
 mid write        average:,0.000006036,
  mid read          kbest:,0.000001995,
  mid read        average:,0.000002610,
  mid mmap          kbest:,0.000000312,
  mid mmap        average:,0.000000327,
mid munmap          kbest:,0.000002738,
mid munmap        average:,0.000002806,
mid page fault          kbest:,0.000000580,
mid page fault        average:,0.000000591,
 big write          kbest:,0.000804222,
 big write        average:,0.000823006,
  big read          kbest:,0.000466837,
  big read        average:,0.000470295,
  big mmap          kbest:,0.000000314,
  big mmap        average:,0.000000321,
big munmap          kbest:,0.000115320,
big munmap        average:,0.000116513,
big page fault          kbest:,0.000000719,
big page fault        average:,0.000000766,
huge write          kbest:,0.013315584,
huge write        average:,0.016942288,
 huge read          kbest:,0.021000911,
 huge read        average:,0.022825314,
 huge mmap          kbest:,0.000000307,
 huge mmap        average:,0.000000314,
huge munmap          kbest:,0.001177066,
huge munmap        average:,0.001186852,
huge page fault          kbest:,0.000000712,
huge page fault        average:,0.000000740,
    select          kbest:,0.000000519,
    select        average:,0.000000562,
      poll          kbest:,0.000000498,
      poll        average:,0.000000535,
     epoll          kbest:,0.000000697,
     epoll        average:,0.000000943,
select big          kbest:,0.000077220,
select big        average:,0.000132879,
  poll big          kbest:,0.000090124,
  poll big        average:,0.000134708,
 epoll big          kbest:,0.000128373,
 epoll big        average:,0.000215766,
