OS Benchmark experiment
Test Name:,4.12.10-patch,
       ref          kbest:,0.000000021,
       ref        average:,0.000000029,
       cpu          kbest:,0.004829358,
       cpu        average:,0.004831935,
    getpid          kbest:,0.000000072,
    getpid        average:,0.000000074,
context siwtch          kbest:,0.000002610,
context siwtch        average:,0.000003061,
      send          kbest:,0.000000099,
      send        average:,0.000000386,
      recv          kbest:,0.000000079,
      recv        average:,0.000000295,
  big send          kbest:,0.000000215,
  big send        average:,0.000000445,
  big recv          kbest:,0.000000322,
  big recv        average:,0.000000664,
      fork          kbest:,0.000184337,
      fork       average:,0.000229964,
      fork    Child kbest:,0.000231574,
      fork Child average:,0.000306962,
thr create          kbest:,0.000010532,
thr create       average:,0.000022380,
thr create    Child kbest:,0.000015711,
thr create Child average:,0.000041728,
  big fork          kbest:,0.003072390,
  big fork       average:,0.005261668,
  big fork    Child kbest:,0.003208879,
  big fork Child average:,0.005407555,
 huge fork          kbest:,0.005389128,
 huge fork       average:,0.009820818,
 huge fork    Child kbest:,0.005527850,
 huge fork Child average:,0.009970775,
small write          kbest:,0.000000713,
small write        average:,0.000000756,
small read          kbest:,0.000000286,
small read        average:,0.000000358,
small mmap          kbest:,0.000000345,
small mmap        average:,0.000000364,
small munmap          kbest:,0.000000756,
small munmap        average:,0.000000810,
small page fault          kbest:,0.000000596,
small page fault        average:,0.000000624,
 mid write          kbest:,0.000006196,
 mid write        average:,0.000006396,
  mid read          kbest:,0.000002078,
  mid read        average:,0.000002676,
  mid mmap          kbest:,0.000000332,
  mid mmap        average:,0.000000353,
mid munmap          kbest:,0.000002835,
mid munmap        average:,0.000002922,
mid page fault          kbest:,0.000000599,
mid page fault        average:,0.000000613,
 big write          kbest:,0.000808803,
 big write        average:,0.000817278,
  big read          kbest:,0.000489731,
  big read        average:,0.000493714,
  big mmap          kbest:,0.000000354,
  big mmap        average:,0.000000367,
big munmap          kbest:,0.000113857,
big munmap        average:,0.000115068,
big page fault          kbest:,0.000000715,
big page fault        average:,0.000000756,
huge write          kbest:,0.013312621,
huge write        average:,0.013422972,
 huge read          kbest:,0.019708433,
 huge read        average:,0.021100089,
 huge mmap          kbest:,0.000000352,
 huge mmap        average:,0.000000371,
huge munmap          kbest:,0.001155249,
huge munmap        average:,0.001163835,
huge page fault          kbest:,0.000000724,
huge page fault        average:,0.000000772,
    select          kbest:,0.000000536,
    select        average:,0.000000604,
      poll          kbest:,0.000000519,
      poll        average:,0.000000606,
     epoll          kbest:,0.000000698,
     epoll        average:,0.000000762,
select big          kbest:,0.000087699,
select big        average:,0.000120886,
  poll big          kbest:,0.000097716,
  poll big        average:,0.000134819,
 epoll big          kbest:,0.000146158,
 epoll big        average:,0.000221806,
