OS Benchmark experiment
Test Name:,4.15.0-101-generic,
       ref          kbest:,0.000000020,
       ref        average:,0.000000028,
       cpu          kbest:,0.003007410,
       cpu        average:,0.003009178,
    getpid          kbest:,0.000000416,
    getpid        average:,0.000000426,
context siwtch          kbest:,0.000004342,
context siwtch        average:,0.000005258,
      send          kbest:,0.000002516,
      send        average:,0.000002742,
      recv          kbest:,0.000002642,
      recv        average:,0.000003024,
  big send          kbest:,0.000011139,
  big send        average:,0.000024309,
  big recv          kbest:,0.000014655,
  big recv        average:,0.000029288,
      fork          kbest:,0.000117589,
      fork       average:,0.000263283,
      fork    Child kbest:,0.000215865,
      fork Child average:,0.000391442,
thr create          kbest:,0.000011103,
thr create       average:,0.000030133,
thr create    Child kbest:,0.000014223,
thr create Child average:,0.000042385,
  big fork          kbest:,0.003429088,
  big fork       average:,0.003927170,
  big fork    Child kbest:,0.003588184,
  big fork Child average:,0.004102948,
 huge fork          kbest:,0.008097884,
 huge fork       average:,0.009277915,
 huge fork    Child kbest:,0.008267547,
 huge fork Child average:,0.009464070,
small write          kbest:,0.000001244,
small write        average:,0.000001294,
small read          kbest:,0.000000668,
small read        average:,0.000000712,
small mmap          kbest:,0.000000806,
small mmap        average:,0.000000855,
small munmap          kbest:,0.000001346,
small munmap        average:,0.000001410,
small page fault          kbest:,0.000000990,
small page fault        average:,0.000001029,
 mid write          kbest:,0.000006561,
 mid write        average:,0.000006737,
  mid read          kbest:,0.000002279,
  mid read        average:,0.000002534,
  mid mmap          kbest:,0.000000795,
  mid mmap        average:,0.000000838,
mid munmap          kbest:,0.000004550,
mid munmap        average:,0.000004633,
mid page fault          kbest:,0.000001480,
mid page fault        average:,0.000001520,
 big write          kbest:,0.000794815,
 big write        average:,0.000823710,
  big read          kbest:,0.000477058,
  big read        average:,0.000482261,
  big mmap          kbest:,0.000000815,
  big mmap        average:,0.000000846,
big munmap          kbest:,0.000109258,
big munmap        average:,0.000110962,
big page fault          kbest:,0.000002051,
big page fault        average:,0.000002702,
huge write          kbest:,0.019120862,
huge write        average:,0.019342723,
 huge read          kbest:,0.021649754,
 huge read        average:,0.022352448,
 huge mmap          kbest:,0.000000812,
 huge mmap        average:,0.000000858,
huge munmap          kbest:,0.001109827,
huge munmap        average:,0.001116975,
huge page fault          kbest:,0.000001975,
huge page fault        average:,0.000002343,
    select          kbest:,0.000001335,
    select        average:,0.000001457,
      poll          kbest:,0.000001297,
      poll        average:,0.000001393,
     epoll          kbest:,0.000001466,
     epoll        average:,0.000001605,
select big          kbest:,0.000130818,
select big        average:,0.000187780,
  poll big          kbest:,0.000142973,
  poll big        average:,0.000193920,
 epoll big          kbest:,0.000191582,
 epoll big        average:,0.000255702,
